district,transaction_date,sqft,price_aed,project_stage,lat,lng,distance_to_beach_km,drive_time_burj_khalifa_min,amenity_density_1km,has_waterfront_view,developer_tier,floor_level,service_charge_aed,supply_pressure_2y,momentum_3m,momentum_6m,momentum_12m,roi_pct,days_on_market,12_month_appreciation_pct
Dubai Investment Park Second,2026-01-29,924.0893999999998,1332000.0,1,25.06,55.2,7.09,42,7,0,3,9,11.4,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
DUBAI SOUTH,2026-01-29,1334.1978,1506735.0,1,24.9144391,55.1615128,18.41,83,1,0,3,9,14.3,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
BUSINESS PARK,2026-01-29,391.27139999999997,1333000.0,1,25.048462,55.2349614,10.84,42,11,0,1,39,22.3,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
BUSINESS PARK,2026-01-29,406.44863999999995,1361000.0,1,25.048462,55.2349614,10.84,42,9,0,1,45,29.6,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
Palm Deira,2026-01-29,827.5363199999999,2583000.0,1,25.2761408,55.3016752,27.72,22,21,0,1,31,29.9,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,652.7289599999999,705888.0,1,25.0853591,55.382978,25.25,41,7,0,3,7,14.6,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
TECOM SITE A,2026-01-29,733.9971599999999,3810000.0,1,25.06,55.2,7.09,42,7,0,1,23,20.6,1527,1.4,2.5982746447699423,3.627418293614619,5.74,39,4.2
BUSINESS PARK,2026-01-29,613.76328,2500000.0,1,25.048462,55.2349614,10.84,42,6,0,1,57,28.5,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,372.21912,685000.0,1,25.0853591,55.382978,25.25,41,8,0,2,45,15.6,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
JUMEIRAH VILLAGE CIRCLE,2026-01-29,590.19012,932905.92,1,25.065,55.205,7.44,40,7,0,2,38,27.2,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Palm Deira,2026-01-29,1229.03352,4753000.0,1,25.2761408,55.3016752,27.72,22,22,0,1,51,20.1,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Palm Deira,2026-01-29,827.5363199999999,2575000.0,1,25.2761408,55.3016752,27.72,22,16,0,1,56,26.9,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
BUSINESS PARK,2026-01-29,390.94847999999996,1306000.0,1,25.048462,55.2349614,10.84,42,11,0,1,19,25.7,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
BUSINESS BAY,2026-01-29,1127.0984399999998,3072225.0,1,25.185,55.265,17.79,4,25,0,1,52,15.3,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
DAMAC HILLS,2026-01-29,695.3543999999999,1440000.0,1,25.0281607,55.2640652,14.38,46,8,0,1,19,22.3,309,2.9,5.382140335594881,7.513937893915997,8.97,57,7.9
BUSINESS PARK,2026-01-29,391.27139999999997,1400000.0,1,25.048462,55.2349614,10.84,42,13,0,1,30,23.3,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
Palm Deira,2026-01-29,870.0541199999999,2723000.0,1,25.2761408,55.3016752,27.72,22,18,0,1,44,25.6,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
BUSINESS PARK,2026-01-29,380.29211999999995,1384000.0,1,25.048462,55.2349614,10.84,42,5,0,1,44,20.5,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,679.2084,1090000.0,1,25.0853591,55.382978,25.25,41,11,0,2,59,19.4,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Madinat Al Mataar,2026-01-29,1856.8976399999997,3031888.0,1,24.9170063,55.1057072,18.11,88,1,0,2,23,29.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
BUSINESS BAY,2026-01-29,829.3661999999999,2324999.0,1,25.185,55.265,17.79,4,27,0,1,15,16.4,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
BUSINESS PARK,2026-01-29,406.55628,1361000.0,1,25.048462,55.2349614,10.84,42,10,0,1,45,28.8,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
DUBAI MARINA,2026-01-29,1646.78436,3750000.0,1,25.08,55.145,1.24,46,11,0,1,46,17.0,106,2.9,5.382140335594881,7.513937893915997,6.55,37,7.6
DUBAI MARITIME CITY,2026-01-29,394.82352,1365140.0,1,25.2496256,55.276165,23.83,14,19,0,1,55,16.9,994,2.6,4.825367197429894,6.736633973855722,7.9,87,6.9
JADDAF WATERFRONT,2026-01-29,890.50572,1800000.0,1,25.2268312,55.3380861,26.42,18,17,0,1,23,16.8,1732,4.8,8.908370210639802,12.436862720964408,5.09,41,8.0
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,701.59752,1740000.0,1,25.121173,55.2704737,14.67,21,21,0,1,50,16.7,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
DUBAI MARITIME CITY,2026-01-29,394.28532,1335690.0,1,25.2496256,55.276165,23.83,14,21,0,1,53,29.9,994,2.6,4.825367197429894,6.736633973855722,7.9,87,6.9
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-06,685.34388,1777888.0,1,25.121173,55.2704737,14.67,21,14,0,1,35,17.9,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,390.73319999999995,712000.0,1,25.0853591,55.382978,25.25,41,11,0,2,33,24.3,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
ARJAN,2026-01-29,713.3302799999999,1340999.0,1,25.0603309,55.2354858,10.56,39,13,0,2,23,27.0,841,2.7,5.01095824348489,6.99573528054248,8.04,24,14.7
Al Yelayiss 1,2026-01-29,1550.0159999999998,2824000.0,1,25.06,55.2,7.09,42,8,0,2,32,19.7,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
SAMA AL JADAF,2026-01-29,379.75392,863999.0,1,25.06,55.2,7.09,42,6,0,1,58,21.0,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
Dubai Investment Park Second,2026-01-29,2566.02996,3470000.0,1,25.06,55.2,7.09,42,10,0,3,6,14.7,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
Al Yelayiss 1,2026-01-29,2533.95324,4100000.0,1,25.06,55.2,7.09,42,10,0,2,20,18.1,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
SAMA AL JADAF,2026-01-29,379.75392,868999.0,1,25.06,55.2,7.09,42,4,0,1,43,25.9,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
Al Yelayiss 1,2026-01-29,1550.0159999999998,2824000.0,1,25.06,55.2,7.09,42,12,0,2,27,23.9,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
SAMA AL JADAF,2026-01-29,379.75392,837999.0,1,25.06,55.2,7.09,42,7,0,1,38,20.1,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
JUMEIRAH VILLAGE CIRCLE,2026-01-29,451.65744,696960.0,1,25.065,55.205,7.44,40,8,0,2,50,25.0,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Palm Jabal Ali,2026-01-06,741.1013999999999,2524000.0,1,24.9876012,55.0220064,15.05,86,1,0,1,37,15.7,874,3.1,5.753322427704873,8.032140507289514,4.63,91,4.3
Al Yelayiss 1,2026-01-29,1630.10016,2927000.0,1,25.06,55.2,7.09,42,13,0,2,16,26.6,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
Palm Deira,2026-01-29,831.84192,2783000.0,1,25.2761408,55.3016752,27.72,22,23,0,1,50,15.3,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
SAMA AL JADAF,2026-01-29,379.64628,835999.0,1,25.06,55.2,7.09,42,12,0,1,39,15.7,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
MAJAN,2026-01-29,372.4344,702999.0,1,25.0929388,55.3184835,18.8,30,16,0,2,37,26.4,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
BUSINESS BAY,2026-01-29,751.97304,2324160.0,1,25.185,55.265,17.79,4,24,0,1,43,24.2,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
MAJAN,2026-01-29,1264.2318,1569952.49,1,25.0929388,55.3184835,18.8,30,10,0,3,14,11.3,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
Madinat Al Mataar,2026-01-29,763.92108,1069489.51,1,24.9170063,55.1057072,18.11,88,1,0,3,3,11.2,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Palm Deira,2026-01-29,1796.29632,3092693.0,1,25.2761408,55.3016752,27.72,22,14,0,2,27,16.3,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Al Yelayiss 2,2026-01-29,610.857,1090888.0,1,25.06,55.2,7.09,42,12,0,2,45,15.7,1205,2.7,5.01095824348489,6.99573528054248,8.57,14,10.3
JUMEIRAH VILLAGE CIRCLE,2026-01-06,339.49656,561000.0,1,25.065,55.205,7.44,40,13,0,2,50,19.6,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Al Yelayiss 1,2026-01-29,1550.0159999999998,2903000.0,1,25.06,55.2,7.09,42,9,0,2,26,19.7,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
BUSINESS BAY,2026-01-29,1209.22776,3460380.0,1,25.185,55.265,17.79,4,25,0,1,57,20.0,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
MAJAN,2026-01-29,373.83371999999997,689999.0,1,25.0929388,55.3184835,18.8,30,17,0,2,51,15.1,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
MAJAN,2026-01-29,372.4344,680999.0,1,25.0929388,55.3184835,18.8,30,18,0,2,25,29.0,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
JUMEIRAH VILLAGE CIRCLE,2026-01-29,403.21943999999996,775000.0,1,25.065,55.205,7.44,40,6,0,2,47,19.8,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Al Yelayiss 2,2026-01-29,669.84372,1196888.0,1,25.06,55.2,7.09,42,8,0,2,22,22.3,1205,2.7,5.01095824348489,6.99573528054248,8.57,14,10.3
DUBAI PRODUCTION CITY,2026-01-29,808.0534799999999,1027050.0,1,25.0321285,55.1912732,7.83,50,2,0,3,3,12.8,1117,2.9,5.382140335594881,7.513937893915997,8.36,20,5.9
JUMEIRAH VILLAGE CIRCLE,2026-01-29,1755.0702,2290000.0,1,25.065,55.205,7.44,40,5,0,3,6,10.9,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
BUSINESS BAY,2026-01-29,805.57776,2533650.0,1,25.185,55.265,17.79,4,27,0,1,58,26.4,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
Madinat Dubai Almelaheyah,2026-01-29,885.66192,1744000.0,1,25.06,55.2,7.09,42,8,0,1,32,17.8,1314,2.5,4.639776151374898,6.477532667168963,8.06,51,6.7
Palm Jabal Ali,2026-01-06,1843.3349999999998,5221000.0,1,24.9876012,55.0220064,15.05,86,1,0,1,19,19.1,874,3.1,5.753322427704873,8.032140507289514,4.63,91,4.3
Madinat Al Mataar,2026-01-29,779.8518,1243828.0,1,24.9170063,55.1057072,18.11,88,1,0,2,48,26.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
JUMEIRAH VILLAGE TRIANGLE,2026-01-29,1139.47704,1850000.0,1,25.0498433,55.1907008,6.65,45,3,0,2,59,28.0,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
JUMEIRAH VILLAGE TRIANGLE,2026-01-29,624.52728,1120500.0,1,25.0498433,55.1907008,6.65,45,8,0,2,25,24.6,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
MAJAN,2026-01-29,372.4344,695999.0,1,25.0929388,55.3184835,18.8,30,19,0,2,57,25.7,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
SAMA AL JADAF,2026-01-29,383.52132,878999.0,1,25.06,55.2,7.09,42,4,0,1,31,23.9,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
DUBAI PRODUCTION CITY,2026-01-29,822.58488,1091387.0,1,25.0321285,55.1912732,7.83,50,5,0,3,1,14.9,1117,2.9,5.382140335594881,7.513937893915997,8.36,20,5.9
DUBAI STUDIO CITY,2026-01-29,686.7431999999999,1034550.0,1,25.0415641,55.2522587,12.73,43,9,0,3,37,15.0,978,3.6,6.6812776579798525,9.327647040723306,5.0,80,3.1
SILICON OASIS,2026-01-29,386.9658,821000.0,1,25.1063647,55.3764714,24.77,35,15,0,1,21,19.9,910,3.2,5.938913473759869,8.291241813976272,8.87,25,9.1
Al Yelayiss 1,2026-01-29,1550.0159999999998,2903000.0,1,25.06,55.2,7.09,42,7,0,2,45,28.2,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
Dubai Investment Park Second,2026-01-06,1528.38036,3634888.0,1,25.06,55.2,7.09,42,8,0,1,15,27.4,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
Madinat Al Mataar,2026-01-29,1113.6434399999998,2270888.0,1,24.9170063,55.1057072,18.11,88,1,0,1,31,17.9,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Dubai Investment Park Second,2026-01-29,1528.05744,3656888.0,1,25.06,55.2,7.09,42,9,0,1,56,25.9,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
Wadi Al Safa 4,2026-01-29,1188.66852,2500000.0,1,25.0769255,55.318421,18.73,35,15,0,1,53,16.0,564,3.0,5.567731381649877,7.773039200602755,6.01,28,5.0
HORIZON,2026-01-29,830.8731599999999,1992000.0,1,25.1220188,55.2292278,10.85,23,17,0,1,49,26.9,442,4.8,8.908370210639802,12.436862720964408,8.56,66,4.3
SAMA AL JADAF,2026-01-29,379.75392,834999.0,1,25.06,55.2,7.09,42,11,0,1,34,20.9,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
JUMEIRAH VILLAGE CIRCLE,2026-01-29,414.62928,684287.0,1,25.065,55.205,7.44,40,5,0,2,53,22.5,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
DOWN TOWN JABAL ALI,2026-01-29,824.0918399999999,1157551.0,1,25.06,55.2,7.09,42,9,0,3,6,11.8,1711,1.9,3.526229875044922,4.922924827048411,5.8,83,4.3
Um Suqaim Third,2026-01-29,1111.9212,3400000.0,1,25.06,55.2,7.09,42,6,0,1,34,23.6,362,1.7,3.1550477829349304,4.404722213674894,4.67,113,10.2
Madinat Al Mataar,2026-01-29,1127.63664,2342888.0,1,24.9170063,55.1057072,18.11,88,1,0,1,50,27.2,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI SCIENCE PARK,2026-01-29,504.40103999999997,1078822.0,1,25.0735423,55.2412462,10.96,35,13,0,1,27,22.9,1318,1.5,2.7838656908249386,3.8865196003013773,4.65,96,4.0
SAMA AL JADAF,2026-01-29,383.52132,868999.0,1,25.06,55.2,7.09,42,8,0,1,23,20.6,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
Business Bay,2026-01-29,848.5261199999999,2561908.0,1,25.06,55.2,7.09,42,6,0,1,37,21.2,271,3.3,6.124504519814864,8.55034312066303,8.49,70,8.2
JUMEIRAH VILLAGE CIRCLE,2026-01-29,1325.80188,1895767.0,1,25.065,55.205,7.44,40,10,0,3,6,13.1,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Madinat Al Mataar,2026-01-29,1112.7823199999998,2386888.0,1,24.9170063,55.1057072,18.11,88,1,0,1,45,26.3,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
BUSINESS BAY,2026-01-29,1066.06656,2592818.0,1,25.185,55.265,17.79,4,23,0,1,32,20.2,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
DUBAI MARITIME CITY,2026-01-29,414.09108,1753290.0,1,25.2496256,55.276165,23.83,14,19,0,1,21,24.6,994,2.6,4.825367197429894,6.736633973855722,7.9,87,6.9
Al Yelayiss 1,2026-01-29,1550.0159999999998,2824000.0,1,25.06,55.2,7.09,42,4,0,2,26,21.0,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
SAMA AL JADAF,2026-01-29,379.75392,822999.0,1,25.06,55.2,7.09,42,5,0,1,46,23.7,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
Madinat Al Mataar,2026-01-29,1113.6434399999998,2292888.0,1,24.9170063,55.1057072,18.11,88,1,0,1,47,21.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
JUMEIRAH VILLAGE CIRCLE,2026-01-29,1340.7638399999998,1361445.4,1,25.065,55.205,7.44,40,11,0,3,1,14.9,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
